Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:02:45,14.279168338776376;8.560517915091491;13.768530015914493,21.604386920735667,41;41;41,1.4279168338776377e-05;8.560517915091493e-06;1.3768530015914493e-05,43.11653666666666;5.882384999999999 
22:02:48,2.7065701580051837;10.310654389063757;14.06281730337966,17.646471218324592,9;9;9,2.706570158005184e-06;1.0310654389063758e-05;1.406281730337966e-05,43.11653666666666;5.882384999999999 
22:02:52,7.6757855828597785;12.285870758691697;10.615541006687934,17.959677488139558,25;25;25,7.675785582859779e-06;1.2285870758691697e-05;1.0615541006687934e-05,43.11653666666666;5.882384999999999 
22:02:55,228.92495858192453;242.33311136881807;177.68904305463096,377.7636424394205,37;37;37,0.00022892495858192454;0.00024233311136881807;0.00017768904305463096,43.11653666666666;5.882384999999999 
22:02:58,53.376356751124355;1025.5980549589801;1205.5877761713791,1583.711555760555,2;2;2,5.337635675112436e-05;0.00102559805495898;0.001205587776171379,43.11653666666666;5.882384999999999 
22:03:02,81.69714373270678;385.5662256876613;971.1486718909068,1048.077039439651,4;4;4,8.169714373270678e-05;0.0003855662256876613;0.0009711486718909069,43.11653666666666;5.882384999999999 
22:03:05,50.85621010780338;174.30972716967008;832.012510464999,851.5955922048704,3;3;3,5.085621010780338e-05;0.0001743097271696701;0.0008320125104649991,43.11653666666666;5.882384999999999 
22:03:08,42.42974254608164;214.4069935671462;1339.9149591064302,1357.6239315731789,2;2;2,4.2429742546081646e-05;0.00021440699356714622;0.0013399149591064301,43.11653666666666;5.882384999999999 
22:03:12,285.6319989967344;787.2583971405044;515.0382918707539,983.1713303449458,17;17;17,0.0002856319989967344;0.0007872583971405044;0.0005150382918707539,43.11653666666666;5.882384999999999 
22:03:15,869.5222932974499;547.7627888329821;1221.601493733706,1596.3781822813053,33;33;33,0.0008695222932974499;0.0005477627888329821;0.0012216014937337062,43.11653666666666;5.882384999999999 
22:03:18,200.01559702555332;1196.7448172791796;585.4377965196154,1347.1977621462293,9;9;9,0.00020001559702555332;0.0011967448172791797;0.0005854377965196154,43.11653666666666;5.882384999999999 
22:03:22,411.0145941670733;370.1273659197483;282.6766563224652,621.1548564171935,41;41;41,0.0004110145941670733;0.0003701273659197483;0.0002826766563224652,43.11653666666666;5.882384999999999 
22:03:25,58.00764058748885;480.4670174821236;1745.2483122507695,1811.1060467760726,2;2;2,5.800764058748886e-05;0.00048046701748212365;0.0017452483122507695,43.11653666666666;5.882384999999999 
22:03:29,405.9400089295703;881.8143989562981;78.65700641631257,973.9460199183385,25;25;25,0.00040594000892957033;0.0008818143989562981;7.865700641631257e-05,43.11653666666666;5.882384999999999 
22:03:32,523.0283164215085;607.1982215563457;641.5606267897651,1026.5711557835546,31;31;31,0.0005230283164215085;0.0006071982215563457;0.0006415606267897652,43.11653666666666;5.882384999999999 
22:03:35,20.182371807098384;800.0131323909777;249.80688618658675,838.3506548670564,1;1;1,2.0182371807098385e-05;0.0008000131323909778;0.00024980688618658677,43.11653666666666;5.882384999999999 
22:03:39,15.933287350336702;756.6388024711606;1293.055319999036,1498.2483798184433,1;1;1,1.5933287350336703e-05;0.0007566388024711607;0.0012930553199990362,43.11653666666666;5.882384999999999 
22:03:42,258.2352242183685;1424.8087361494677;103.30543720564123,1451.7015461144908,10;10;10,0.00025823522421836853;0.0014248087361494676;0.00010330543720564123,43.11653666666666;5.882384999999999 
22:03:45,314.36428938865646;1589.4375338459015;182.15011411666993,1630.4340662883892,11;11;11,0.00031436428938865646;0.0015894375338459015;0.00018215011411666993,43.11653666666666;5.882384999999999 
22:03:48,596.553376518885;816.8816547648106;468.01841582932366,1114.5460091367997,32;32;32,0.000596553376518885;0.0008168816547648107;0.00046801841582932367,43.11653666666666;5.882384999999999 
22:03:52,392.1677379735311;786.9578749529518;646.2324374770923,1091.1986963451366,21;21;21,0.0003921677379735311;0.0007869578749529518;0.0006462324374770923,43.11653666666666;5.882384999999999 
22:03:55,111.59037253379813;586.4085704739894;2150.3827720800837,2231.697445718484,3;3;3,0.00011159037253379814;0.0005864085704739894;0.002150382772080084,43.11653666666666;5.882384999999999 
22:03:59,399.92769470850607;1218.490902045567;695.0080614026338,1458.6632389888102,16;16;16,0.0003999276947085061;0.001218490902045567;0.0006950080614026338,43.11653666666666;5.882384999999999 
22:04:02,26.36115786234538;3.8375810464231774;35.562000023503515,44.43302282990686,36;36;36,2.636115786234538e-05;3.837581046423177e-06;3.5562000023503514e-05,43.11653666666666;5.882384999999999 
22:04:05,202.0263523260752;2162.436081062952;1472.968975429545,2624.2298021124293,4;4;4,0.00020202635232607522;0.002162436081062952;0.001472968975429545,43.11653666666666;5.882384999999999 
22:04:09,666.7053556315104;267.17981198310537;1760.91225191435,1901.7605112371887,21;21;21,0.0006667053556315104;0.00026717981198310536;0.0017609122519143502,43.11653666666666;5.882384999999999 
