Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:06:39,550.9070489819843;1082.0388651371002;615.6390293884205,1361.3662610743438,24;24;24,43.116605;5.882431666666667 
22:06:43,438.4070045153302;2666.1443123690287;508.38752387364036,2749.3606657578043,9;9;9,43.116605;5.882431666666667 
22:06:47,556.299614127477;259.4971680100749;3527.1615783628104,3580.1783252741,9;9;9,43.116605;5.882431666666667 
22:06:50,201.57868649482725;2829.408290421168;1285.5073498693948,3114.275900963377,4;4;4,43.116605;5.882431666666667 
22:06:54,42.374251934687315;2984.9659318796794;2009.3050627454065,3598.4891311331858,1;1;1,43.116605;5.882431666666667 
22:06:58,181.16188244183854;91.53768664995899;377.38354272205044,428.50567562698893,25;25;25,43.116605;5.882431666666667 
22:07:02,174.18939359664893;1476.615145041148;610.3711622460679,1607.2607713461045,6;6;6,43.116605;5.882431666666667 
22:07:05,486.7337156295775;2601.446000423432;1221.36082658767,2914.8161643185254,10;10;10,43.116605;5.882431666666667 
22:07:09,1011.0196114126837;498.07125807444254;665.7607682577993,1308.9969569606062,51;51;51,43.116605;5.882431666666667 
22:07:13,14.089627374013341;10.321253719330182;28.029617144232688,33.02582800066633,25;25;25,43.116605;5.882431666666667 
22:07:17,11.08315851847301;7.01114522616103;4.835788561537768,13.97774699799009,52;52;52,43.116605;5.882431666666667 
22:07:21,10.365521510442385;7.541111739478246;5.430598036410217,13.921343235614978,48;48;48,43.116605;5.882431666666667 
22:07:25,8.224456796646045;62.43753714879391;100.10069852512693,118.26342452349867,4;4;4,43.116605;5.882431666666667 
22:07:28,44.55522000948565;50.1279737695064;53.898217894222,86.04068384492899,31;31;31,43.116605;5.882431666666667 
22:07:32,14.617099927266334;44.48351865768524;45.791600710545666,65.49285257252401,13;13;13,43.116605;5.882431666666667 
22:07:36,75.51773418744406;56.21074236234003;2.8674305820342028,94.18491329227633,53;53;53,43.116605;5.882431666666667 
22:07:39,88.72824063936858;68.71047019640658;62.59091569262765,128.49689540533888,44;44;44,43.116605;5.882431666666667 
22:07:43,181.31214353561398;367.7587273502345;188.60822369893882,451.32431463706024,24;24;24,43.116605;5.882431666666667 
22:07:47,29.206766293843472;48.80991587638833;29.909439541524918,64.26521344313291,27;27;27,43.116605;5.882431666666667 
22:07:50,4.881303332646407;1.513210268022036;0.12594498312523683,5.112024029611623,73;73;73,43.116605;5.882431666666667 
22:07:54,3.879978367487401;9.09858979860928;25.17465636258187,27.048140258243464,8;8;8,43.116605;5.882431666666667 
22:07:58,3.4952850278221343;5.271608082453194;4.976073815001314,8.047868029052486,26;26;26,43.116605;5.882431666666667 
22:08:02,16.859793513615667;4.565193894704889;1.3629491742914723,17.520024630967548,74;74;74,43.116605;5.882431666666667 
22:08:05,52.73977344512943;30.191257028580054;130.61554687179822,144.06046226716157,21;21;21,43.116605;5.882431666666667 
22:08:09,459.75405567169173;44.618192501068464;169.0019566663139,491.8599761778489,69;69;69,43.116605;5.882431666666667 
22:08:13,441.7663687197366;373.23733411788896;1197.2591965421007,1329.6214558346626,19;19;19,43.116605;5.882431666666667 
22:08:16,552.6428451855976;625.2962662410738;3195.5210041300165,3302.6904218751674,10;10;10,43.116605;5.882431666666667 
22:08:20,372.481040728887;828.8751087061563;837.3938527902122,1235.7202499861985,18;18;18,43.116605;5.882431666666667 
22:08:24,71.33848061243694;862.1732164827985;723.3064027436313,1127.6541962349618,4;4;4,43.116605;5.882431666666667 
22:08:28,549.8065891043343;1094.7830010573066;374.5610034211318,1281.0671528496973,25;25;25,43.116605;5.882431666666667 
22:08:31,376.0792016092933;896.0293478234604;300.3962425676843,1017.1244076280946,22;22;22,43.116605;5.882431666666667 
22:08:35,157.80719343503318;529.1603407255816;262.9375859165268,611.5962316629057,15;15;15,43.116605;5.882431666666667 
22:08:39,190.666987730662;1755.9480244096105;977.4752250798375,2018.7038366940253,5;5;5,43.116605;5.882431666666667 
22:08:42,27.344401617049915;671.0766441313424;304.83486798922854,737.5743185200996,2;2;2,43.116605;5.882431666666667 
22:08:46,240.54369502385467;2391.556815509795;373.4081703821879,2432.4553300595785,6;6;6,43.116605;5.882431666666667 
22:08:50,656.1041548951466;661.3651636473335;30.706883271527374,932.104851632685,45;45;45,43.116605;5.882431666666667 
22:08:54,174.76425139109287;1169.0543787034353;1497.8194169839173,1908.0601903042802,5;5;5,43.116605;5.882431666666667 
22:08:58,284.88568144798273;1461.411964499155;1181.5503655974187,1900.7751176608858,9;9;9,43.116605;5.882431666666667 
22:09:01,120.58795694986978;312.7089233970638;81.55935243923906,344.93514477913436,20;20;20,43.116605;5.882431666666667 
22:09:05,35.82137187004095;1882.6256083424882;1522.1610906854935,2421.2675890670216,1;1;1,43.116605;5.882431666666667 
22:09:09,1026.2496020253498;1043.7914936161037;252.1381153551996,1485.3493047150214,44;44;44,43.116605;5.882431666666667 
22:09:12,11.050113547642953;4.286493857701023;49.33240050955057,50.73622748138273,13;13;13,43.116605;5.882431666666667 
22:09:16,320.71391170819606;5146.821543738048;1572.250408074046,5391.1595006954,3;3;3,43.116605;5.882431666666667 
22:09:20,806.1495211251571;1769.4129147879275;919.9034040133167,2151.0279835799247,22;22;22,43.116605;5.882431666666667 
22:09:23,220.5359004211423;1153.0281913407662;1641.828152882251,2018.3433248577574,6;6;6,43.116605;5.882431666666667 
22:09:27,298.78327389717117;2095.553060102462;45.16062881472749,2117.2277994728024,8;8;8,43.116605;5.882431666666667 
22:09:31,1453.7985279178615;5031.37301498731;2095.077960710519,5640.708841730228,15;15;15,43.116605;5.882431666666667 
22:09:35,40.297406692505014;2775.406573184333;3506.5340346844955,4472.1679825182855,1;1;1,43.116605;5.882431666666667 
